Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HP,HR,JH,JK,KL,KA,LA,LD,ML,MN,MP,MH,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,TG,UP,UT,UN,WB
13-Apr-20,2020-04-13,Deceased,27,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14-Apr-20,2020-04-14,Confirmed,1031,0,45,0,1,0,0,2,0,0,51,0,78,1,2,3,8,8,13,0,0,0,0,127,346,0,0,5,8,0,108,0,31,0,52,102,2,0,38
14-Apr-20,2020-04-14,Recovered,167,0,4,0,0,1,0,3,0,0,0,0,5,1,4,0,14,13,11,0,0,0,0,13,30,0,0,0,2,0,26,0,23,0,7,1,2,0,7
14-Apr-20,2020-04-14,Deceased,37,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,3,18,0,0,0,1,0,0,0,1,0,1,3,0,0,0
15-Apr-20,2020-04-15,Confirmed,886,0,41,0,0,6,0,0,0,0,17,0,116,2,6,1,22,1,19,1,0,6,0,197,236,0,0,0,2,0,71,0,38,0,6,75,0,0,23
15-Apr-20,2020-04-15,Recovered,144,0,4,1,2,0,2,4,0,0,10,1,5,0,2,0,6,7,9,0,0,0,0,0,36,0,0,1,0,0,0,0,37,1,8,7,0,0,1
15-Apr-20,2020-04-15,Deceased,27,0,3,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,2,0,0,1,0,0,9,0,0,0,0,0,0,0,2,0,0,3,0,0,0
16-Apr-20,2020-04-16,Confirmed,1061,0,9,0,2,11,0,3,0,0,62,0,163,0,11,1,14,7,36,0,0,2,0,226,285,0,0,0,11,0,55,0,25,0,50,70,0,0,18
16-Apr-20,2020-04-16,Recovered,258,1,0,0,3,8,0,6,0,0,11,0,9,3,8,0,2,27,2,2,0,0,0,6,5,0,0,0,2,0,17,0,62,0,68,11,0,0,5
16-Apr-20,2020-04-16,Deceased,26,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,1,0,0,0,1,0,0,2,0,0,3
17-Apr-20,2020-04-17,Confirmed,922,1,38,0,0,2,0,0,0,0,67,0,170,3,8,3,14,1,44,0,0,0,0,146,120,0,0,0,14,0,98,0,56,0,66,44,3,0,24
17-Apr-20,2020-04-17,Recovered,273,0,15,0,4,0,0,1,0,0,20,0,13,0,21,0,4,10,6,0,0,0,0,0,31,0,0,2,1,0,19,0,103,0,0,14,0,0,9
17-Apr-20,2020-04-17,Deceased,38,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,1,0,0,0,0,0,0,14,7,0,0,0,0,0,6,0,0,0,0,1,0,0,0
18-Apr-20,2020-04-18,Confirmed,1371,2,31,0,0,1,2,0,0,0,186,0,277,1,9,1,13,4,25,0,0,2,0,92,327,0,0,1,23,0,122,0,49,0,43,126,2,0,32
18-Apr-20,2020-04-18,Recovered,426,0,7,0,3,5,0,1,0,0,135,0,7,0,14,0,9,2,16,0,0,0,0,57,34,0,0,3,1,3,17,0,82,0,0,26,0,0,4
18-Apr-20,2020-04-18,Deceased,35,0,2,0,0,1,0,0,0,0,1,0,12,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,2,0,4,0,0,0,0,0,0,0,2
19-Apr-20,2020-04-19,Confirmed,1580,1,44,0,0,10,3,0,0,0,110,0,367,0,18,8,13,2,6,0,0,0,0,5,552,0,0,0,10,0,127,0,105,0,49,125,2,0,23
19-Apr-20,2020-04-19,Recovered,388,0,23,0,5,0,4,0,0,0,83,1,12,0,4,0,5,13,7,0,0,0,0,4,142,0,0,0,6,0,5,0,46,0,0,19,2,0,7
19-Apr-20,2020-04-19,Deceased,38,0,1,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,2,0,0,0,0,3,12,0,0,0,0,0,2,0,0,0,3,3,0,0,0
20-Apr-20,2020-04-20,Confirmed,1239,1,75,0,0,17,0,0,0,0,78,0,196,0,1,5,14,6,18,0,0,0,0,78,466,0,0,13,1,0,98,0,43,0,14,84,2,0,29
20-Apr-20,2020-04-20,Recovered,419,0,27,0,2,0,1,0,0,0,141,0,26,0,37,4,15,21,1,0,0,0,1,7,65,0,0,0,1,0,0,0,46,0,0,13,7,0,4
